Time resolution is 1 ps
Time: 0ns | q = 0000 | clk = 0 | reset = 1
Time: 5ns | q = 0000 | clk = 1 | reset = 1
Time: 10ns | q = 0000 | clk = 0 | reset = 1
Time: 15ns | q = 0001 | clk = 1 | reset = 0
Time: 20ns | q = 0001 | clk = 0 | reset = 0
Time: 25ns | q = 0010 | clk = 1 | reset = 0
Time: 30ns | q = 0010 | clk = 0 | reset = 0
Time: 35ns | q = 0011 | clk = 1 | reset = 0
Time: 40ns | q = 0011 | clk = 0 | reset = 0
Time: 45ns | q = 0100 | clk = 1 | reset = 0
Time: 50ns | q = 0100 | clk = 0 | reset = 0
Time: 55ns | q = 0101 | clk = 1 | reset = 0
Time: 60ns | q = 0101 | clk = 0 | reset = 0
Time: 65ns | q = 0110 | clk = 1 | reset = 0
Time: 70ns | q = 0110 | clk = 0 | reset = 0
Time: 75ns | q = 0111 | clk = 1 | reset = 0
Time: 80ns | q = 0111 | clk = 0 | reset = 0
Time: 85ns | q = 1000 | clk = 1 | reset = 0
Time: 90ns | q = 1000 | clk = 0 | reset = 0
Time: 95ns | q = 1001 | clk = 1 | reset = 0
Time: 100ns | q = 1001 | clk = 0 | reset = 0
Time: 105ns | q = 1010 | clk = 1 | reset = 0
Time: 110ns | q = 1010 | clk = 0 | reset = 0
Time: 115ns | q = 1011 | clk = 1 | reset = 0
Time: 120ns | q = 1011 | clk = 0 | reset = 0
Time: 125ns | q = 1100 | clk = 1 | reset = 0
Time: 130ns | q = 1100 | clk = 0 | reset = 0
Time: 135ns | q = 1101 | clk = 1 | reset = 0
Time: 140ns | q = 1101 | clk = 0 | reset = 0
Time: 145ns | q = 1110 | clk = 1 | reset = 0
Time: 150ns | q = 1110 | clk = 0 | reset = 0
Time: 155ns | q = 1111 | clk = 1 | reset = 0
Time: 160ns | q = 1111 | clk = 0 | reset = 0
Time: 165ns | q = 0000 | clk = 1 | reset = 0
Time: 170ns | q = 0000 | clk = 0 | reset = 0
Time: 175ns | q = 0001 | clk = 1 | reset = 0
Time: 180ns | q = 0001 | clk = 0 | reset = 0
Time: 185ns | q = 0010 | clk = 1 | reset = 0
Time: 190ns | q = 0010 | clk = 0 | reset = 0
Time: 195ns | q = 0000 | clk = 1 | reset = 1
Time: 200ns | q = 0000 | clk = 0 | reset = 1
Time: 205ns | q = 0000 | clk = 1 | reset = 1
Time: 210ns | q = 0000 | clk = 0 | reset = 1
Test complete.
Time: 215ns | q = 0001 | clk = 1 | reset = 0
Time: 220ns | q = 0001 | clk = 0 | reset = 0
Time: 225ns | q = 0010 | clk = 1 | reset = 0
Time: 230ns | q = 0010 | clk = 0 | reset = 0
$finish called at time : 235 ns : File "C:/Users/lenovo/project_1/project_1.srcs/sim_1/new/four_bit_ripple_up_counter_tb.v" Line 51
